iter	Passed	Remaining
0	39	39355
1	84	42368
2	123	40984
3	157	39161
4	196	39183
5	243	40281
6	285	40494
7	332	41230
8	373	41113
9	410	40633
10	455	40977
11	504	41572
12	543	41241
13	580	40865
14	622	40851
15	666	41018
16	719	41625
17	762	41625
18	811	41903
19	857	41995
20	905	42203
21	946	42056
22	987	41931
23	1028	41816
24	1072	41818
25	1118	41917
26	1160	41838
27	1199	41622
28	1239	41509
29	1277	41309
30	1323	41380
31	1374	41568
32	1419	41609
33	1461	41522
34	1552	42793
35	1613	43194
36	1654	43063
37	1698	42988
38	1741	42901
39	1783	42794
40	1837	42976
41	1879	42870
42	1921	42758
43	1965	42710
44	2009	42648
45	2057	42673
46	2101	42619
47	2144	42536
48	2183	42380
49	2220	42195
50	2266	42171
51	2310	42114
52	2347	41953
53	2385	41796
54	2429	41750
55	2474	41708
56	2520	41706
57	2562	41624
58	2607	41579
59	2710	42462
60	2756	42433
61	2810	42522
62	2854	42461
63	2894	42330
64	2941	42318
65	2990	42324
66	3034	42255
67	3076	42162
68	3116	42048
69	3161	42002
70	3208	41986
71	3249	41884
72	3289	41772
73	3330	41681
74	3369	41560
75	3418	41562
76	3473	41633
77	3514	41543
78	3550	41391
79	3591	41300
80	3640	41305
81	3682	41226
82	3722	41131
83	3764	41050
84	3806	40973
85	3859	41019
86	3908	41015
87	3950	40944
88	3999	40942
89	4043	40889
90	4095	40907
91	4139	40857
92	4181	40783
93	4221	40685
94	4264	40620
95	4332	40799
96	4381	40790
97	4432	40800
98	4481	40789
99	4535	40815
100	4582	40792
101	4626	40728
102	4673	40697
103	4725	40709
104	4766	40627
105	4811	40584
106	4851	40487
107	4893	40420
108	4936	40348
109	4982	40309
110	5031	40299
111	5069	40194
112	5109	40106
113	5155	40066
114	5199	40012
115	5246	39980
116	5286	39894
117	5326	39811
118	5366	39730
119	5427	39804
120	5506	39999
121	5559	40012
122	5604	39959
123	5659	39984
124	5697	39883
125	5737	39798
126	5777	39713
127	5820	39650
128	5864	39595
129	5903	39510
130	5946	39444
131	5986	39368
132	6028	39299
133	6076	39269
134	6123	39232
135	6161	39145
136	6201	39064
137	6241	38989
138	6296	39004
139	6338	38934
140	6383	38886
141	6422	38803
142	6468	38767
143	6513	38720
144	6556	38662
145	6595	38581
146	6638	38521
147	6680	38457
148	6724	38404
149	6770	38365
150	6813	38309
151	6852	38228
152	6895	38173
153	6946	38158
154	6992	38120
155	7040	38090
156	7080	38015
157	7127	37981
158	7176	37957
159	7217	37892
160	7260	37833
161	7305	37788
162	7348	37733
163	7397	37706
164	7445	37678
165	7481	37589
166	7524	37533
167	7573	37505
168	7628	37512
169	7675	37473
170	7718	37419
171	7761	37364
172	7810	37336
173	7857	37298
174	7900	37247
175	7947	37210
176	7989	37150
177	8033	37098
178	8126	37272
179	8178	37257
180	8225	37219
181	8276	37200
182	8341	37239
183	8383	37179
184	8429	37133
185	8469	37066
186	8515	37023
187	8563	36986
188	8606	36932
189	8649	36873
190	8694	36826
191	8736	36767
192	8785	36735
193	8828	36678
194	8868	36610
195	8910	36550
196	8954	36501
197	9005	36477
198	9048	36420
199	9091	36364
200	9132	36301
201	9169	36225
202	9210	36159
203	9254	36110
204	9297	36057
205	9336	35987
206	9376	35920
207	9420	35869
208	9462	35812
209	9504	35755
210	9545	35693
211	9586	35632
212	9633	35594
213	9677	35546
214	9717	35481
215	9759	35421
216	9800	35363
217	9848	35329
218	9889	35267
219	9930	35209
220	9973	35153
221	10016	35103
222	10056	35038
223	10102	34996
224	10138	34922
225	10178	34859
226	10214	34784
227	10261	34744
228	10313	34723
229	10354	34663
230	10395	34606
231	10432	34535
232	10474	34480
233	10527	34460
234	10616	34561
235	10672	34549
236	10721	34516
237	10767	34474
238	10809	34418
239	10851	34362
240	10890	34297
241	10934	34249
242	10983	34216
243	11029	34172
244	11070	34115
245	11110	34055
246	11155	34009
247	11202	33968
248	11246	33919
249	11285	33857
250	11324	33791
251	11364	33732
252	11410	33689
253	11452	33637
254	11496	33588
255	11538	33534
256	11582	33486
257	11634	33461
258	11683	33425
259	11728	33381
260	11769	33323
261	11813	33275
262	11859	33233
263	11899	33174
264	11938	33113
265	11979	33055
266	12021	33001
267	12066	32958
268	12110	32909
269	12150	32850
270	12190	32791
271	12235	32747
272	12290	32729
273	12335	32683
274	12381	32642
275	12427	32599
276	12473	32557
277	12526	32532
278	12567	32478
279	12614	32437
280	12655	32380
281	12700	32337
282	12756	32319
283	12800	32272
284	12840	32214
285	12884	32166
286	12932	32129
287	12992	32120
288	13070	32155
289	13124	32132
290	13176	32104
291	13222	32060
292	13269	32018
293	13318	31981
294	13364	31939
295	13414	31904
296	13464	31871
297	13504	31812
298	13548	31765
299	13592	31714
300	13635	31665
301	13692	31647
302	13736	31597
303	13780	31549
304	13821	31495
305	13865	31446
306	13920	31423
307	13960	31365
308	14006	31321
309	14044	31260
310	14086	31207
311	14132	31164
312	14174	31111
313	14219	31064
314	14260	31010
315	14306	30967
316	14359	30937
317	14405	30894
318	14446	30840
319	14489	30789
320	14534	30744
321	14590	30721
322	14629	30663
323	14673	30614
324	14720	30574
325	14769	30536
326	14811	30484
327	14852	30430
328	14896	30381
329	14937	30327
330	14978	30273
331	15023	30227
332	15072	30189
333	15112	30134
334	15153	30080
335	15192	30023
336	15249	30001
337	15294	29955
338	15338	29907
339	15381	29857
340	15430	29820
341	15479	29782
342	15523	29734
343	15569	29689
344	15625	29666
345	15700	29677
346	15759	29656
347	15808	29617
348	15850	29566
349	15898	29524
350	15946	29485
351	16002	29459
352	16045	29409
353	16091	29365
354	16132	29311
355	16176	29262
356	16227	29227
357	16267	29172
358	16309	29120
359	16349	29066
360	16394	29020
361	16440	28975
362	16486	28930
363	16525	28874
364	16570	28828
365	16615	28782
366	16668	28750
367	16722	28719
368	16765	28669
369	16805	28614
370	16854	28575
371	16900	28531
372	16942	28480
373	16983	28426
374	17030	28384
375	17073	28334
376	17122	28295
377	17165	28245
378	17207	28194
379	17250	28145
380	17292	28093
381	17347	28065
382	17394	28021
383	17436	27970
384	17480	27922
385	17526	27878
386	17569	27829
387	17613	27782
388	17654	27730
389	17698	27682
390	17745	27639
391	17792	27596
392	17837	27549
393	17881	27503
394	17924	27453
395	17962	27397
396	18023	27375
397	18099	27375
398	18154	27345
399	18217	27325
400	18266	27286
401	18317	27248
402	18367	27208
403	18411	27162
404	18459	27119
405	18506	27076
406	18554	27033
407	18598	26985
408	18639	26933
409	18685	26889
410	18740	26857
411	18783	26807
412	18827	26760
413	18871	26712
414	18918	26668
415	18968	26628
416	19011	26579
417	19056	26532
418	19097	26481
419	19139	26430
420	19191	26394
421	19237	26348
422	19284	26304
423	19328	26257
424	19377	26216
425	19436	26189
426	19480	26141
427	19532	26104
428	19581	26062
429	19634	26027
430	19684	25987
431	19735	25948
432	19780	25901
433	19824	25854
434	19878	25819
435	19925	25775
436	19977	25738
437	20025	25695
438	20070	25648
439	20127	25617
440	20170	25567
441	20216	25521
442	20265	25480
443	20312	25435
444	20356	25388
445	20396	25335
446	20440	25287
447	20484	25239
448	20535	25200
449	20578	25151
450	20623	25105
451	20665	25054
452	20722	25021
453	20835	25057
454	20891	25023
455	20937	24977
456	20987	24936
457	21033	24891
458	21075	24840
459	21121	24794
460	21171	24754
461	21223	24715
462	21264	24662
463	21304	24610
464	21348	24562
465	21388	24509
466	21438	24468
467	21486	24424
468	21525	24371
469	21568	24321
470	21606	24267
471	21658	24227
472	21696	24173
473	21738	24123
474	21780	24073
475	21828	24029
476	21878	23988
477	21918	23935
478	21962	23887
479	22004	23837
480	22047	23788
481	22095	23745
482	22145	23704
483	22186	23653
484	22226	23601
485	22274	23557
486	22324	23516
487	22363	23463
488	22404	23412
489	22443	23359
490	22481	23305
491	22526	23259
492	22574	23215
493	22612	23161
494	22655	23113
495	22695	23061
496	22742	23017
497	22792	22975
498	22839	22930
499	22880	22880
500	22921	22829
501	22972	22789
502	23011	22736
503	23051	22685
504	23091	22634
505	23134	22586
506	23183	22542
507	23232	22500
508	23271	22448
509	23313	22398
510	23350	22345
511	23516	22413
512	23597	22401
513	23664	22375
514	23709	22328
515	23753	22279
516	23800	22235
517	23849	22191
518	23899	22149
519	23945	22103
520	23986	22053
521	24035	22009
522	24084	21966
523	24126	21916
524	24168	21867
525	24210	21817
526	24256	21770
527	24306	21728
528	24360	21689
529	24404	21641
530	24445	21591
531	24490	21544
532	24542	21503
533	24587	21456
534	24630	21407
535	24676	21361
536	24724	21317
537	24766	21267
538	24810	21220
539	24855	21173
540	24898	21124
541	24944	21078
542	24995	21037
543	25037	20987
544	25081	20939
545	25122	20889
546	25165	20840
547	25221	20803
548	25263	20753
549	25305	20704
550	25353	20659
551	25401	20616
552	25453	20574
553	25499	20528
554	25546	20483
555	25587	20433
556	25630	20385
557	25680	20341
558	25720	20290
559	25762	20241
560	25802	20191
561	25844	20142
562	25883	20090
563	25925	20041
564	25966	19992
565	26013	19946
566	26052	19895
567	26101	19851
568	26151	19809
569	26189	19757
570	26230	19706
571	26277	19662
572	26326	19618
573	26369	19570
574	26413	19522
575	26453	19472
576	26493	19422
577	26546	19381
578	26593	19336
579	26632	19285
580	26677	19239
581	26722	19192
582	26770	19147
583	26817	19103
584	26859	19053
585	26906	19008
586	26949	18960
587	27009	18924
588	27049	18874
589	27091	18826
590	27134	18778
591	27179	18731
592	27231	18689
593	27272	18640
594	27315	18592
595	27358	18544
596	27401	18496
597	27440	18446
598	27492	18404
599	27536	18357
600	27585	18313
601	27625	18264
602	27714	18246
603	27772	18208
604	27829	18169
605	27879	18126
606	27928	18082
607	27974	18036
608	28014	17986
609	28063	17942
610	28109	17896
611	28152	17848
612	28195	17800
613	28236	17750
614	28275	17701
615	28323	17656
616	28381	17617
617	28424	17569
618	28464	17520
619	28510	17473
620	28564	17433
621	28605	17383
622	28654	17340
623	28697	17291
624	28747	17248
625	28798	17205
626	28843	17158
627	28885	17110
628	28927	17062
629	28975	17017
630	29031	16977
631	29074	16929
632	29121	16883
633	29159	16833
634	29201	16784
635	29246	16738
636	29292	16692
637	29336	16645
638	29379	16597
639	29420	16549
640	29473	16507
641	29514	16458
642	29554	16408
643	29592	16358
644	29636	16311
645	29685	16267
646	29730	16220
647	29772	16172
648	29814	16124
649	29857	16077
650	29908	16034
651	29955	15988
652	29997	15940
653	30042	15894
654	30088	15847
655	30140	15805
656	30179	15755
657	30220	15707
658	30260	15658
659	30304	15611
660	30346	15563
661	30401	15522
662	30441	15473
663	30489	15428
664	30540	15384
665	30597	15344
666	30675	15314
667	30726	15271
668	30783	15230
669	30838	15189
670	30882	15141
671	30929	15096
672	30971	15048
673	31015	15001
674	31071	14960
675	31117	14914
676	31168	14870
677	31211	14822
678	31261	14779
679	31315	14736
680	31359	14689
681	31401	14641
682	31446	14595
683	31493	14549
684	31538	14503
685	31579	14454
686	31629	14410
687	31668	14361
688	31710	14313
689	31758	14268
690	31802	14221
691	31843	14173
692	31882	14124
693	31924	14076
694	31972	14031
695	32027	13989
696	32067	13940
697	32110	13892
698	32158	13847
699	32206	13802
700	32254	13757
701	32295	13709
702	32335	13661
703	32382	13615
704	32425	13568
705	32475	13523
706	32519	13476
707	32561	13429
708	32605	13382
709	32663	13341
710	32706	13294
711	32749	13246
712	32792	13199
713	32835	13152
714	32885	13108
715	32931	13062
716	32970	13013
717	33011	12965
718	33052	12917
719	33104	12874
720	33150	12827
721	33188	12778
722	33226	12729
723	33271	12683
724	33318	12638
725	33362	12591
726	33400	12542
727	33447	12497
728	33489	12449
729	33554	12410
730	33630	12375
731	33683	12332
732	33736	12288
733	33787	12244
734	33827	12196
735	33872	12149
736	33909	12100
737	33953	12053
738	34008	12011
739	34052	11964
740	34100	11918
741	34138	11870
742	34188	11825
743	34233	11779
744	34277	11732
745	34316	11684
746	34357	11636
747	34402	11590
748	34454	11546
749	34495	11498
750	34534	11450
751	34570	11400
752	34610	11352
753	34660	11308
754	34707	11262
755	34751	11216
756	34795	11169
757	34843	11124
758	34891	11078
759	34936	11032
760	34978	10985
761	35022	10938
762	35059	10890
763	35116	10847
764	35158	10800
765	35202	10753
766	35244	10706
767	35289	10660
768	35341	10616
769	35386	10569
770	35433	10524
771	35481	10478
772	35522	10431
773	35568	10385
774	35616	10340
775	35657	10292
776	35695	10244
777	35735	10196
778	35785	10152
779	35827	10105
780	35869	10058
781	35913	10011
782	35956	9965
783	36010	9921
784	36054	9874
785	36102	9829
786	36142	9781
787	36222	9745
788	36285	9703
789	36342	9660
790	36385	9613
791	36430	9567
792	36478	9522
793	36526	9476
794	36578	9432
795	36623	9385
796	36671	9340
797	36715	9293
798	36763	9248
799	36804	9201
800	36846	9154
801	36891	9107
802	36946	9064
803	36989	9017
804	37036	8971
805	37079	8924
806	37122	8878
807	37170	8832
808	37210	8785
809	37254	8738
810	37297	8692
811	37335	8644
812	37382	8598
813	37427	8552
814	37472	8506
815	37511	8458
816	37552	8411
817	37605	8367
818	37648	8320
819	37697	8275
820	37739	8228
821	37778	8180
822	37832	8136
823	37876	8090
824	37920	8043
825	37967	7998
826	38020	7953
827	38068	7907
828	38110	7861
829	38152	7814
830	38192	7767
831	38240	7721
832	38285	7675
833	38330	7629
834	38370	7582
835	38416	7536
836	38458	7489
837	38512	7445
838	38557	7399
839	38606	7353
840	38652	7307
841	38696	7261
842	38747	7216
843	38794	7170
844	38834	7123
845	38878	7077
846	38930	7032
847	39008	6992
848	39064	6947
849	39111	6902
850	39164	6857
851	39225	6813
852	39272	6767
853	39317	6721
854	39356	6674
855	39410	6629
856	39459	6584
857	39502	6537
858	39544	6491
859	39586	6444
860	39628	6397
861	39674	6351
862	39718	6305
863	39761	6258
864	39799	6211
865	39845	6165
866	39899	6120
867	39945	6074
868	39988	6028
869	40028	5981
870	40079	5935
871	40124	5889
872	40169	5843
873	40212	5797
874	40250	5750
875	40290	5703
876	40339	5657
877	40388	5612
878	40438	5566
879	40482	5520
880	40529	5474
881	40585	5429
882	40632	5383
883	40673	5337
884	40720	5291
885	40766	5245
886	40813	5199
887	40852	5152
888	40899	5106
889	40940	5060
890	40981	5013
891	41042	4969
892	41086	4923
893	41151	4879
894	41226	4836
895	41317	4795
896	41402	4754
897	41473	4710
898	41548	4667
899	41616	4624
900	41685	4580
901	41872	4549
902	41991	4510
903	42120	4472
904	42203	4430
905	42280	4386
906	42349	4342
907	42433	4299
908	42514	4256
909	42600	4213
910	42698	4171
911	42799	4129
912	42888	4086
913	42960	4042
914	43049	3999
915	43121	3954
916	43190	3909
917	43268	3864
918	43337	3819
919	43413	3775
920	43502	3731
921	43592	3687
922	43674	3643
923	43780	3600
924	43857	3555
925	43933	3510
926	44012	3465
927	44083	3420
928	44145	3373
929	44225	3328
930	44303	3283
931	44392	3238
932	44482	3194
933	44556	3148
934	44635	3102
935	44788	3062
936	44862	3016
937	44950	2971
938	45037	2925
939	45136	2881
940	45238	2836
941	45311	2789
942	45377	2742
943	45449	2696
944	45525	2649
945	45600	2603
946	45687	2556
947	45754	2509
948	45830	2462
949	45924	2417
950	46006	2370
951	46096	2324
952	46275	2282
953	46403	2237
954	46489	2190
955	46562	2143
956	46636	2095
957	46736	2049
958	46819	2001
959	46904	1954
960	46987	1906
961	47054	1858
962	47114	1810
963	47188	1762
964	47259	1714
965	47330	1665
966	47423	1618
967	47508	1570
968	47587	1522
969	47664	1474
970	47748	1426
971	47818	1377
972	47888	1328
973	47958	1280
974	48036	1231
975	48130	1183
976	48212	1134
977	48286	1086
978	48376	1037
979	48443	988
980	48515	939
981	48589	890
982	48662	841
983	48743	792
984	48853	743
985	48930	694
986	49011	645
987	49090	596
988	49167	546
989	49244	497
990	49317	447
991	49389	398
992	49470	348
993	49550	299
994	49633	249
995	49704	199
996	49791	149
997	49878	99
998	49965	50
999	50034	0
